latitude,longitude,postal,address,block,street_name,max_floor_lvl,year_completed,town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,smallunit_sold
1.3036713506088,103.864478660925,190001,1 BEACH RD,1,BEACH RD,16,1970,KALLANG/WHAMPOA,142,138,1,2,0,0,1
1.32085208689731,103.933721091441,460001,1 BEDOK STH AVE 1,1,BEDOK STH AVE 1,14,1975,BEDOK,206,204,0,2,0,0,0
1.32796879176302,103.922716018139,461001,1 CHAI CHEE RD,1,CHAI CHEE RD,15,1982,BEDOK,102,0,10,92,0,0,0
1.38854656229022,103.987804503483,500001,1 CHANGI VILLAGE RD,1,CHANGI VILLAGE RD,4,1975,PASIR RIS,55,54,0,1,0,0,0
1.2920752508431,103.828584077626,160001,1 DELTA AVE,1,DELTA AVE,25,1982,BUKIT MERAH,96,0,0,96,0,0,0
1.3025299473495,103.783271662459,130001,1 DOVER RD,1,DOVER RD,12,1975,QUEENSTOWN,125,118,0,7,0,0,0
1.27742654288695,103.840001188095,81001,1 EVERTON PK,1,EVERTON PK,12,1965,BUKIT MERAH,95,62,0,33,0,0,0
1.31287975684307,103.786855017635,270001,1 GHIM MOH RD,1,GHIM MOH RD,15,1975,QUEENSTOWN,220,216,0,4,0,0,0
1.31129091152627,103.897703432652,430001,1 HAIG RD,1,HAIG RD,15,1976,GEYLANG,219,213,0,5,0,0,0
1.36413097349222,103.89300132385,530001,1 HOUGANG AVE 3,1,HOUGANG AVE 3,14,1974,HOUGANG,204,200,0,4,0,0,0
1.28645354030174,103.808242400418,150001,1 JLN BT MERAH,1,JLN BT MERAH,14,1974,BUKIT MERAH,244,243,0,0,0,0,0
1.30355769675629,103.883796413118,431001,1 KG KAYU RD,1,KG KAYU RD,10,1963,KALLANG/WHAMPOA,107,106,1,0,0,0,0
1.33943033543358,103.853442790992,310001,1 LOR 7 TOA PAYOH,1,LOR 7 TOA PAYOH,11,1968,TOA PAYOH,196,194,0,2,0,0,0
1.35086712646948,103.875343939672,531001,1 LOR LEW LIAN,1,LOR LEW LIAN,14,1977,SERANGOON,179,174,0,3,0,0,0
1.30482902187779,103.918614976369,440001,1 MARINE TER,1,MARINE TER,25,1974,MARINE PARADE,96,0,0,96,0,0,0
1.44067109860246,103.775739945213,730001,1 MARSILING DR,1,MARSILING DR,11,1973,WOODLANDS,159,158,0,1,0,0,0
1.30787056219408,103.883192164927,390001,1 PINE CL,1,PINE CL,19,1998,GEYLANG,156,0,100,56,0,0,0
1.31726629524359,103.806782877524,260001,1 QUEEN'S RD,1,QUEEN'S RD,23,1974,BUKIT TIMAH,88,0,0,88,0,0,0
1.32340263694069,103.86163080083,320001,1 ST. GEORGE'S RD,1,ST. GEORGE'S RD,12,1975,KALLANG/WHAMPOA,154,0,154,0,0,0,0
1.38253882861956,103.751710905678,680001,1 TECK WHYE AVE,1,TECK WHYE AVE,13,1983,CHOA CHU KANG,118,68,48,0,2,0,0
1.27945660077329,103.817897561986,90001,1 TELOK BLANGAH CRES,1,TELOK BLANGAH CRES,16,1973,BUKIT MERAH,148,146,0,2,0,0,0
1.27568847511494,103.842433449984,82001,1 TG PAGAR PLAZA,1,TG PAGAR PLAZA,24,1976,CENTRAL AREA,163,158,0,5,0,0,0
1.33958155877064,103.774586318946,591501,1 TOH YI DR,1,TOH YI DR,13,1987,BUKIT TIMAH,132,0,72,60,0,0,0
1.27784271048219,103.840965923691,85101,1A CANTONMENT RD,1A,CANTONMENT RD,50,2009,CENTRAL AREA,264,0,176,88,0,0,0
1.3161855822938,103.859370843058,331001,1A KEMPAS RD,1A,KEMPAS RD,30,2025,KALLANG/WHAMPOA,135,27,27,0,0,0,81
1.27779940676005,103.841403430465,85201,1B CANTONMENT RD,1B,CANTONMENT RD,50,2009,CENTRAL AREA,264,0,176,88,0,0,0
1.31648901569608,103.859664747794,332001,1B KEMPAS RD,1B,KEMPAS RD,37,2025,KALLANG/WHAMPOA,162,28,134,0,0,0,0
1.27744909387079,103.841666679651,85301,1C CANTONMENT RD,1C,CANTONMENT RD,50,2009,CENTRAL AREA,264,0,176,88,0,0,0
1.27692024304713,103.841485788369,85401,1D CANTONMENT RD,1D,CANTONMENT RD,50,2009,CENTRAL AREA,264,0,176,88,0,0,0
1.27662168427368,103.841156142262,85501,1E CANTONMENT RD,1E,CANTONMENT RD,50,2009,CENTRAL AREA,264,0,176,88,0,0,0
1.27598699469414,103.841191762017,85601,1F CANTONMENT RD,1F,CANTONMENT RD,50,2009,CENTRAL AREA,264,0,176,88,0,0,0
1.27553229128302,103.841274606704,85701,1G CANTONMENT RD,1G,CANTONMENT RD,50,2009,CENTRAL AREA,264,0,176,88,0,0,0
1.32727572366021,103.924803599281,467010,10 CHAI CHEE RD,10,CHAI CHEE RD,15,1999,BEDOK,84,0,56,28,0,0,0
1.32228655863065,103.902720513959,400010,10 EUNOS CRES,10,EUNOS CRES,16,1977,GEYLANG,180,0,180,0,0,0,0
1.31391658721965,103.852209769739,210010,10 GLOUCESTER RD,10,GLOUCESTER RD,14,1976,KALLANG/WHAMPOA,207,180,26,1,0,0,0
1.31483950176268,103.895865169739,430010,10 HAIG RD,10,HAIG RD,13,1976,GEYLANG,133,132,0,0,0,0,0
1.30814997104791,103.794275184926,271010,10 HOLLAND AVE,10,HOLLAND AVE,14,1973,QUEENSTOWN,101,0,101,0,0,0,0
1.28820018880462,103.808369387433,150010,10 JLN RUMAH TINGGI,10,JLN RUMAH TINGGI,4,1986,BUKIT MERAH,28,20,8,0,0,0,0
1.2869738344398,103.839075823483,162010,10 JLN KUKOH,10,JLN KUKOH,12,1970,CENTRAL AREA,92,16,4,0,0,0,72
