OBJECTID,GRND_LEVEL,RAIL_TYPE,NAME,latitude,longitude,NS,EW,CC,CE,DT,TE,NE,CG,BP,SE,SW,PE,PW
1,ABOVEGROUND,MRT,KRANJI,1.425189, 103.762059 ,NS07,,,,,,,,,,,,
2,ABOVEGROUND,MRT,MARSILING,1.432578, 103.774043 ,NS08,,,,,,,,,,,,
3,ABOVEGROUND,MRT,WOODLANDS INTERCHANGE,1.43683, 103.786174 ,NS09,,,,,TE02,,,,,,,
4,ABOVEGROUND,MRT,ADMIRALTY,1.440589, 103.800975 ,NS10,,,,,,,,,,,,
5,ABOVEGROUND,MRT,SEMBAWANG,1.449067, 103.820188 ,NS11,,,,,,,,,,,,
6,ABOVEGROUND,MRT,YISHUN,1.429582, 103.834972 ,NS13,,,,,,,,,,,,
7,UNDERGROUND,MRT,MARINA BAY,1.276515, 103.854597 ,NS27,,,CE02,,TE20,,,,,,,
8,UNDERGROUND,MRT,CITY HALL,1.292935, 103.852608 ,NS25,EW13,,,,,,,,,,,
10,UNDERGROUND,MRT,SOMERSET,1.30026, 103.839075 ,NS23,,,,,,,,,,,,
11,UNDERGROUND,MRT,NEWTON,1.312319, 103.838009 ,NS21,,,,DT11,,,,,,,,
12,UNDERGROUND,MRT,CLARKE QUAY,1.288606, 103.846645 ,,,,,,,NE05,,,,,,
15,UNDERGROUND,MRT,ESPLANADE,1.293272, 103.855614 ,,,CC03,,,,,,,,,,
18,UNDERGROUND,MRT,PROMENADE,1.293144, 103.860948 ,,,CC04,,DT15,,,,,,,,
20,UNDERGROUND,MRT,BUGIS,1.299529, 103.856838 ,,EW12,,,DT14,,,,,,,,
21,UNDERGROUND,MRT,GEYLANG BAHRU,1.32151, 103.871901 ,,,,,DT24,,,,,,,,
22,UNDERGROUND,MRT,BENCOOLEN,1.298738, 103.850260 ,,,,,DT21,,,,,,,,
24,ABOVEGROUND,MRT,TUAS WEST ROAD,1.330037, 103.639573 ,,EW32,,,,,,,,,,,
25,ABOVEGROUND,MRT,TUAS LINK,1.34027, 103.636751 ,,EW33,,,,,,,,,,,
26,ABOVEGROUND,MRT,TUAS CRESCENT,1.321138, 103.648965 ,,EW31,,,,,,,,,,,
27,ABOVEGROUND,MRT,GUL CIRCLE,1.319703, 103.660737 ,,EW30,,,,,,,,,,,
28,UNDERGROUND,MRT,JALAN BESAR,1.31366, 103.862969 ,,,,,DT22,,,,,,,,
29,UNDERGROUND,MRT,CASHEW,1.369366, 103.764699 ,,,,,DT02,,,,,,,,
30,UNDERGROUND,MRT,HILLVIEW,1.362337, 103.767423 ,,,,,DT03,,,,,,,,
32,UNDERGROUND,MRT,BAYFRONT,1.281872, 103.859075 ,,,,CE01,DT16,,,,,,,,
33,UNDERGROUND,MRT,SIXTH AVENUE,1.330802, 103.797263 ,,,,,DT07,,,,,,,,
34,ABOVEGROUND,LRT,SAMUDERA,1.415819, 103.902087 ,,,,,,,,,,,,,PW04
35,ABOVEGROUND,LRT,RANGGUNG,1.383921, 103.897493 ,,,,,,,,,,SE05,,,
37,ABOVEGROUND,LRT,KANGKAR,1.384031, 103.902258 ,,,,,,,,,,SE04,,,
38,UNDERGROUND,MRT,SENGKANG,1.391528, 103.895416 ,,,,,,,NE16,,,SE00,SW00,,
39,ABOVEGROUND,LRT,PUNGGOL POINT,1.416911, 103.906536 ,,,,,,,,,,,,,PW03
40,ABOVEGROUND,LRT,TONGKANG,1.389339, 103.885937 ,,,,,,,,,,,SW07,,
41,ABOVEGROUND,LRT,THANGGAM,1.397437, 103.875655 ,,,,,,,,,,,SW04,,
42,ABOVEGROUND,LRT,CORAL EDGE,1.393926, 103.912564 ,,,,,,,,,,,,PE03,
43,UNDERGROUND,MRT,SERANGOON INTERCHANGE,1.349617, 103.873635 ,,,CC13,,,,NE12,,,,,,
44,ABOVEGROUND,LRT,RENJONG,1.386748, 103.890429 ,,,,,,,,,,,SW08,,
47,ABOVEGROUND,LRT,COVE,1.399362, 103.905917 ,,,,,,,,,,,,PE01,
48,ABOVEGROUND,LRT,COMPASSVALE,1.394479, 103.900555 ,,,,,,,,,,SE01,,,
49,ABOVEGROUND,LRT,OASIS,1.402351, 103.912632 ,,,,,,,,,,,,PE06,
50,ABOVEGROUND,LRT,LAYAR,1.392093, 103.880158 ,,,,,,,,,,,SW06,,
51,ABOVEGROUND,LRT,MERIDIAN,1.396852, 103.908991 ,,,,,,,,,,,,PE02,
52,ABOVEGROUND,LRT,SOO TECK,1.40521, 103.897234 ,,,,,,,,,,,,,PW07
53,ABOVEGROUND,LRT,KADALOOR,1.399639, 103.916395 ,,,,,,,,,,,,PE05,
54,ABOVEGROUND,LRT,CHENG LIM,1.396249, 103.893908 ,,,,,,,,,,,SW01,,
55,ABOVEGROUND,MRT,ANG MO KIO INTERCHANGE,1.369949, 103.849616 ,NS16,,,,,,,,,,,,
56,UNDERGROUND,MRT,BUANGKOK,1.382772, 103.893092 ,,,,,,,NE15,,,,,,
57,ABOVEGROUND,LRT,BAKAU,1.388105, 103.905526 ,,,,,,,,,,SE03,,,
58,ABOVEGROUND,LRT,RIVIERA,1.394636, 103.916224 ,,,,,,,,,,,,PE04,
59,ABOVEGROUND,LRT,FERNVALE,1.391944, 103.876280 ,,,,,,,,,,,SW05,,
60,UNDERGROUND,MRT,PUNGGOL,1.405133, 103.902374 ,,,,,,,NE17,,,,,PE00,PW00
61,ABOVEGROUND,LRT,KUPANG,1.398198, 103.881374 ,,,,,,,,,,,SW03,,
62,ABOVEGROUND,LRT,DAMAI,1.405316, 103.908504 ,,,,,,,,,,,,PE07,
63,ABOVEGROUND,LRT,TECK LEE,1.412874, 103.906626 ,,,,,,,,,,,,,PW02
64,ABOVEGROUND,LRT,RUMBIA,1.391564, 103.905890 ,,,,,,,,,,SE02,,,
65,ABOVEGROUND,LRT,FARMWAY,1.397162, 103.889383 ,,,,,,,,,,,SW02,,
67,UNDERGROUND,MRT,LORONG CHUAN,1.35162, 103.864144 ,,,CC14,,,,,,,,,,
68,UNDERGROUND,MRT,KOVAN,1.36018, 103.885091 ,,,,,,,NE13,,,,,,
69,UNDERGROUND,MRT,TAI SENG,1.335453, 103.888164 ,,,CC11,,,,,,,,,,
70,ABOVEGROUND,MRT,TAMPINES,1.353289, 103.945159 ,,EW02,,,DT32,,,,,,,,
71,ABOVEGROUND,MRT,SIMEI,1.343197, 103.953377 ,,EW03,,,,,,,,,,,
72,ABOVEGROUND,MRT,TANAH MERAH INTERCHANGE,1.327254, 103.946548 ,,EW04,,,,,,CG00,,,,,
73,ABOVEGROUND,MRT,KEMBANGAN,1.321038, 103.912947 ,,EW06,,,,,,,,,,,
74,UNDERGROUND,MRT,MOUNTBATTEN,1.306194, 103.882547 ,,,CC07,,,,,,,,,,
75,UNDERGROUND,MRT,TOA PAYOH,1.332677, 103.847421 ,NS19,,,,,,,,,,,,
76,UNDERGROUND,MRT,BRADDELL,1.340444, 103.846800 ,NS18,,,,,,,,,,,,
77,UNDERGROUND,MRT,BARTLEY,1.342847, 103.879725 ,,,CC12,,,,,,,,,,
79,UNDERGROUND,MRT,POTONG PASIR,1.331387, 103.869070 ,,,,,,,NE10,,,,,,
80,UNDERGROUND,MRT,MARYMOUNT ,1.348778, 103.839410 ,,,CC16,,,,,,,,,,
82,UNDERGROUND,MRT,NOVENA,1.32043, 103.843818 ,NS20,,,,,,,,,,,,
83,UNDERGROUND,MRT,STADIUM,1.302854, 103.875348 ,,,CC06,,,,,,,,,,
84,UNDERGROUND,MRT,NICOLL HIGHWAY,1.299803, 103.863633 ,,,CC05,,,,,,,,,,
85,ABOVEGROUND,MRT,KALLANG,1.311397, 103.871315 ,,EW10,,,,,,,,,,,
86,UNDERGROUND,MRT,FARRER PARK,1.312448, 103.854270 ,,,,,,,NE08,,,,,,
87,UNDERGROUND,MRT,HOLLAND VILLAGE,1.311946, 103.796233 ,,,CC21,,,,,,,,,,
88,UNDERGROUND,MRT,KENT RIDGE,1.293401, 103.784498 ,,,CC24,,,,,,,,,,
89,UNDERGROUND,MRT,ONE NORTH,1.299651, 103.787391 ,,,CC23,,,,,,,,,,
90,ABOVEGROUND,MRT,COMMONWEALTH,1.302448, 103.798291 ,,EW20,,,,,,,,,,,
91,UNDERGROUND,MRT,FARRER ROAD,1.317455, 103.807489 ,,,CC20,,,,,,,,,,
