postal,address,block,street_name,max_floor_lvl,year_completed,building_age,town,total_dwelling_units,psm_2018,psm_2019,psm_2020,psm_2021,psm_2022,psm_2023,psm_2024,psm_2025,psm_2026,txn_5y,psm_growth_5y,nearest_station,stn_distance_m
190001,1 BEACH RD,1,BEACH RD,16,1970,56,KALLANG/WHAMPOA,142,5220.5,5279.0,4765.0,5046.0,5022.5,5647.0,6147.0,6484.5,6912.0,16.0,37.6,NICOLL HIGHWAY,441.0
460001,1 BEDOK STH AVE 1,1,BEDOK STH AVE 1,14,1975,51,BEDOK,206,5112.0,4780.0,4390.0,4813.5,5102.0,5763.0,5678.0,6068.0,6356.5,27.0,24.6,BEDOK,529.0
461001,1 CHAI CHEE RD,1,CHAI CHEE RD,15,1982,44,BEDOK,102,4034.5,4056.0,4085.0,3955.0,4195.0,4789.0,,5041.5,5342.0,9.0,27.3,BEDOK NORTH,928.0
500001,1 CHANGI VILLAGE RD,1,CHANGI VILLAGE RD,4,1975,51,PASIR RIS,55,4156.0,4478.0,3644.0,4545.0,4773.0,,4711.0,5448.0,5075.5,8.0,6.3,CHANGI AIRPORT,3479.0
160001,1 DELTA AVE,1,DELTA AVE,25,1982,44,BUKIT MERAH,96,5845.0,6681.0,7092.5,7395.0,7428.0,,7882.0,8302.5,8478.0,9.0,14.099999999999998,GREAT WORLD,601.0
130001,1 DOVER RD,1,DOVER RD,12,1975,51,QUEENSTOWN,125,4995.5,5068.0,4492.0,4615.0,5243.5,6462.0,5646.0,5753.0,5385.0,16.0,2.7,ONE NORTH,560.0
81001,1 EVERTON PK,1,EVERTON PK,12,1965,61,BUKIT MERAH,95,5773.0,6042.0,,5528.0,6479.5,6054.5,7292.0,7256.0,8056.0,9.0,24.3,OUTRAM PARK,453.0
270001,1 GHIM MOH RD,1,GHIM MOH RD,15,1975,51,QUEENSTOWN,220,5395.0,4908.0,4385.0,5000.5,5231.0,6408.0,5723.5,5538.0,5969.0,23.0,14.099999999999998,BUONA VISTA INTERCHANGE,714.0
430001,1 HAIG RD,1,HAIG RD,15,1976,50,GEYLANG,219,5254.0,,5193.0,5390.0,5339.0,6032.0,6474.0,6991.5,7183.5,23.0,34.5,PAYA LEBAR INTERCHANGE,918.0
530001,1 HOUGANG AVE 3,1,HOUGANG AVE 3,14,1974,52,HOUGANG,204,4178.0,3559.0,3644.0,3873.0,4519.5,5261.5,5424.0,5593.0,6017.0,29.0,33.1,HOUGANG INTERCHANGE,790.0
150001,1 JLN BT MERAH,1,JLN BT MERAH,14,1974,52,BUKIT MERAH,244,5281.0,5594.0,4531.0,4750.0,5047.0,5508.0,5953.0,6250.0,,16.0,,QUEENSTOWN,941.0
431001,1 KG KAYU RD,1,KG KAYU RD,10,1963,63,KALLANG/WHAMPOA,107,5484.0,4710.0,4516.0,4952.0,,6613.0,6274.5,7079.0,7661.5,12.0,,MOUNTBATTEN,325.0
310001,1 LOR 7 TOA PAYOH,1,LOR 7 TOA PAYOH,11,1968,58,TOA PAYOH,196,4000.0,3208.5,3634.5,3582.0,4403.0,4851.0,5045.0,5821.0,5746.0,19.0,30.5,BRADDELL,748.0
531001,1 LOR LEW LIAN,1,LOR LEW LIAN,14,1977,49,SERANGOON,179,4836.0,5312.0,4883.0,5073.5,5156.0,5804.5,5953.0,6188.0,7016.0,23.0,36.1,SERANGOON INTERCHANGE,236.0
440001,1 MARINE TER,1,MARINE TER,25,1974,52,MARINE PARADE,96,7117.0,6700.5,6728.0,6429.0,6958.0,7563.5,,7649.0,7817.0,13.0,12.3,MARINE TERRACE,430.0
730001,1 MARSILING DR,1,MARSILING DR,11,1973,53,WOODLANDS,159,3538.0,3215.5,3092.0,3013.0,3769.0,4431.0,4408.0,4884.5,5300.0,24.0,40.6,MARSILING,921.0
390001,1 PINE CL,1,PINE CL,19,1998,28,GEYLANG,156,7478.5,7605.5,6316.0,7562.0,8007.0,8073.0,7421.0,9641.0,9794.5,15.0,22.3,MOUNTBATTEN,200.0
260001,1 QUEEN'S RD,1,QUEEN'S RD,23,1974,52,BUKIT TIMAH,88,7364.5,7114.0,7172.0,7073.0,7569.5,7317.0,8192.0,7720.0,8250.0,10.0,9.0,FARRER ROAD,82.0
